incident_date,letter_date,school,cases_count,no_case_count,incident_text,school_level,school_name_long,state_school_id,lea_name,lea_id,level,grades,ward,charter_status,phone,address
2021-08-25,2021-08-26,Deal,1,True,"A letter to the Deal community was sent on August 26, 2021, notifying them of a positive COVID-19 case in the building on August 25, 2021.",Middle,Deal Middle School,405.0,District of Columbia Public Schools,1.0,Middle,6 - 8,3,DCPS,(202) 939-2010,"3815 Fort Dr. NW, WASHINGTON, DC 20016"
2021-08-25,2021-08-30,Moore,1,True,"A letter to the Luke C. Moore community was sent on August 30, 2021, notifying them of a positive COVID-19 case in the building on August 25, 2021.",Unknown,Luke C. Moore High School,884.0,District of Columbia Public Schools,1.0,High,9 - 12,5,DCPS,(202) 281-3600,"1001 Monroe St. NE, WASHINGTON, DC 20017"
2021-08-25,2021-08-29,Shepherd,1,True,"A letter to the Shepherd community was sent on August 29, 2021, notifying them of a positive COVID-19 case in the building on August 25, 2021.",Elementary,Shepherd Elementary School,313.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,4,DCPS,(202) 576-6140,"7800 14th St NW, WASHINGTON, DC 20012"
2021-08-26,2021-08-30,Peabody,1,True,"A letter to the Peabody community was sent on August 30, 2021, notifying them of a positive COVID-19 case in the building on August 26, 2021.",Elementary,Peabody Elementary School (Capitol Hill Cluster),301.0,District of Columbia Public Schools,1.0,Elementary,PK3 - KG,6,DCPS,(202) 698-3277,"425 C St. NE, WASHINGTON, DC 20002"
2021-08-26,2021-08-31,Powell,1,True,"A letter to the Powell community was sent on August 31, 2021, notifying them of a positive COVID-19 case in the building on August 26, 2021.",Elementary,Powell Elementary School,300.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,4,DCPS,(202) 671-6270,"1350 Upshur St. NW, WASHINGTON, DC 20011"
2021-08-26,2021-08-27,Smothers,1,True,"A letter to the Smothers community was sent on August 27, 2021, notifying them of a positive COVID-19 case in the building on August 26, 2021.",Elementary,Smothers Elementary School,322.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,7,DCPS,(202) 939-3600,"1300 44th St. NE, WASHINGTON, DC 20019"
2021-08-27,2021-08-31,Bancroft,1,True,"A letter to the Bancroft community was sent on August 31, 2021, notifying them of a positive COVID-19 case in the building on August 27, 2021.",Elementary,Bancroft Elementary School,204.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,1,DCPS,(202) 673-7280,"1755 Newton St. NW, WASHINGTON, DC 20010"
2021-08-27,2021-08-31,Boone,1,True,"A letter to the Boone community was sent on August 31, 2021, notifying them of positive COVID-19 cases in the building on August 25 and 27, 2021 respectively.",Elementary,Lawrence E. Boone Elementary School,291.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,8,DCPS,(202) 671-6240,"2200 Minnesota Ave. SE, WASHINGTON, DC 20020"
2021-08-27,2021-08-29,Burroughs,1,True,"A letter to the Burroughs community was sent on August 29, 2021, notifying them of a positive COVID-19 case in the building on August 27, 2021.",Elementary,Burroughs Elementary School,220.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,5,DCPS,(202) 576-6150,"1820 Monroe St. NE, WASHINGTON, DC 20018"
2021-08-27,2021-08-30,Hendley,1,True,"A letter to the Hendley community was sent on August 30, 2021, notifying them of a positive COVID-19 case in the building on August 27, 2021.",Elementary,Hendley Elementary School,249.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,8,DCPS,(202) 645-3450,"425 Chesapeake St. SE, WASHINGTON, DC 20032"
2021-08-27,2021-08-30,Janney,1,True,"A letter to the Janney community was sent on August 30, 2021, notifying them of a positive COVID-19 case in the building on August 27, 2021.",Elementary,Janney Elementary School,254.0,District of Columbia Public Schools,1.0,Elementary,PK4 - 5,3,DCPS,(202) 282-0110,"4130 Albemarle St. NW, WASHINGTON, DC 20016"
2021-08-27,2021-08-31,Jefferson,1,True,"A letter to the Jefferson community was sent on August 31, 2021, notifying them of a positive COVID-19 case in the building on August 27, 2021.",Middle,Jefferson Middle School Academy,433.0,District of Columbia Public Schools,1.0,Middle,6 - 8,6,DCPS,(202) 729-3270,"801 7th St. SW, WASHINGTON, DC 20024"
2021-08-27,2021-09-01,Kramer,1,True,"A letter to the Kramer community was sent on September 1, 2021, notifying them of a positive COVID-19 case in the building on August 27, 2021.",Middle,Kramer Middle School,417.0,District of Columbia Public Schools,1.0,Middle,6 - 8,8,DCPS,(202) 939-3150,"1700 Q St. SE, WASHINGTON, DC 20020"
2021-08-27,2021-08-30,Turner,1,True,"A letter to the Turner community was sent on August 30, 2021, notifying them of a positive COVID-19 case in the building on August 27, 2021.",Elementary,Turner Elementary School,329.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,8,DCPS,(202) 645-3470,"3264 Stanton Rd. SE, WASHINGTON, DC 20032"
2021-08-27,2021-09-01,Woodson,1,True,"A letter to the Woodson community was sent on September 1, 2021, notifying them of a positive COVID-19 case in the building on August 27, 2021.",High,H.D. Woodson High School,464.0,District of Columbia Public Schools,1.0,High,9 - 12,7,DCPS,(202) 939-2030,"540 55th St. NE, WASHINGTON, DC 20019"
2021-08-30,2021-09-08,Brightwood,1,False,"A letter to the Brightwood community was sent on September 8, 2021, notifying them of two positive COVID-19 cases in the building on August 30, and  September 1, respectively.",Elementary,Brightwood Elementary School,213.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,4,DCPS,(202) 722-5670,"1300 Nicholson St. NW, WASHINGTON, DC 20011"
2021-08-30,2021-09-06,Dunbar,1,True,"A letter to the Dunbar community was sent on September 6, 2021, notifying them of a positive COVID-19 case in the building on August 30, 2021. ",High,Dunbar High School,467.0,District of Columbia Public Schools,1.0,High,9 - 12,5,DCPS,(202) 698-3762,"101 N St. NW, WASHINGTON, DC 20001"
2021-08-30,2021-09-01,Ellington,1,True,"A letter to the Ellington community was sent on September 1, 2021, notifying them of a positive COVID-19 case in the building on August 30, 2021.",High,Duke Ellington School of the Arts,471.0,District of Columbia Public Schools,1.0,High,9 - 12,3,DCPS,(202) 282-0123,"3500 R St. NW, WASHINGTON, DC 20007"
2021-08-30,2021-09-02,Janney,2,False," A letter to the Janney community was sent on September 2, 2021, notifying them of two positive COVID-19 cases in the building on August 30, 2021. ",Elementary,Janney Elementary School,254.0,District of Columbia Public Schools,1.0,Elementary,PK4 - 5,3,DCPS,(202) 282-0110,"4130 Albemarle St. NW, WASHINGTON, DC 20016"
2021-08-30,2021-09-03,McKinley,1,True," A letter to the McKinley community was sent on September 3, 2021, notifying them of a positive COVID-19 case in the building on August 30, 2021. ",Unknown,,,,,,,Unk,,,
2021-08-30,2021-08-31,Murch,1,True,"A letter to the Murch community was sent on August 31, 2021, notifying them of a positive COVID-19 case in the building on August 30, 2021.",Elementary,Murch Elementary School,287.0,District of Columbia Public Schools,1.0,Elementary,PK4 - 5,3,DCPS,(202) 282-0130,"4810 36th St. NW, WASHINGTON, DC 20008"
2021-08-30,2021-09-03,Nalle,1,True," A letter to the Nalle Elementary School community was sent on September 3, 2021, notifying them of a positive COVID-19 case in the building on August 30, 2021. ",Elementary,Nalle Elementary School,288.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,7,DCPS,(202) 671-6280,"219 50th St. SE, WASHINGTON, DC 20019"
2021-08-30,2021-09-02,Randle Highlands,1,True," A letter to the Randle Highlands community was sent on September 2, 2021, notifying them of a positive COVID-19 case in the building on August 30, 2021. ",Elementary,Randle Highlands Elementary School,316.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,7,DCPS,(202) 729-3250,"1650 30th St. SE, WASHINGTON, DC 20020"
2021-08-30,2021-09-05,Wilson,1,False,"A letter to the Wilson community was sent on September 5, 2021, notifying them of two positive COVID-19 cases in the building on August 30 and August 31, respectively.",High,J.O. Wilson Elementary School,339.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,6,DCPS,(202) 698-4733,"660 K St. NE, WASHINGTON, DC 20002"
2021-08-30,2021-09-05,Wilson,1,False,"A letter to the Wilson community was sent on September 5, 2021, notifying them of two positive COVID-19 cases in the building on August 30 and August 31, respectively.",High,Woodrow Wilson High School,463.0,District of Columbia Public Schools,1.0,High,9 - 12,3,DCPS,(202) 282-0120,"3950 Chesapeake St. NW, WASHINGTON, DC 20016"
2021-08-31,2021-09-02,Ballou STAY,1,True,"A letter to the Ballou STAY community was sent on September 2, 2021, notifying them of a positive COVID-19 case in the building on August 31, 2021.",High,Ballou STAY High School,462.0,District of Columbia Public Schools,1.0,High,9 - Adult,8,DCPS,(202) 645-3390,"3401 4th St. SE, WASHINGTON, DC 20032"
2021-08-31,2021-09-03,Brookland,1,True,"  A letter to the Brookland community was sent on September 3, 2021, notifying them of a positive COVID-19 case in the building on August 31, 2021.  ",Middle,Brookland Middle School,347.0,District of Columbia Public Schools,1.0,Middle,6 - 8,5,DCPS,(202) 759-1999,"1150 Michigan Ave NE, WASHINGTON, DC 20017"
2021-08-31,2021-09-07,Brookland,1,True,"A letter to the Brookland community was sent on September 7, 2021, notifying them of a positive COVID-19 case in the building on August 31, 2021. ",Middle,Brookland Middle School,347.0,District of Columbia Public Schools,1.0,Middle,6 - 8,5,DCPS,(202) 759-1999,"1150 Michigan Ave NE, WASHINGTON, DC 20017"
2021-08-31,2021-09-01,Cleveland,1,True,"A letter to the Cleveland community was sent on September 1, 2021, notifying them of a positive COVID-19 case in the building on August 31, 2021.",Elementary,Cleveland Elementary School,224.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,1,DCPS,(202) 939-4380,"1825 8th St. NW, WASHINGTON, DC 20001"
2021-08-31,2021-09-02,Excel,1,True," A letter to the Excel Academy community was sent on September 2, 2021, notifying them of a positive COVID-19 case in the building on August 31, 2021. ",PK-8,Excel Academy,318.0,District of Columbia Public Schools,1.0,K-8,PK3 - 8,8,DCPS,(202) 373-0097,"2501 Martin Luther King, Jr. Ave. SE, WASHINGTON, DC 20020"
2021-08-31,2021-09-01,Janney,2,False,"A letter to the Janney community was sent on September 1, 2021, notifying them of two positive COVID-19 cases in the building on August 31, 2021.",Elementary,Janney Elementary School,254.0,District of Columbia Public Schools,1.0,Elementary,PK4 - 5,3,DCPS,(202) 282-0110,"4130 Albemarle St. NW, WASHINGTON, DC 20016"
2021-08-31,2021-09-01,Ketcham,1,True,"A letter to the Ketcham community was sent on September 1, 2021, notifying them of a positive COVID-19 case in the building on August 31 2021.",Elementary,Ketcham Elementary School,257.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,8,DCPS,(202) 698-1122,"1919 15th St. SE, WASHINGTON, DC 20020"
2021-08-31,2021-09-02,Lafayette,1,True," A letter to the Lafayette community was sent on September 2, 2021, notifying them of a positive COVID-19 case in the building on August 31, 2021. ",Elementary,Lafayette Elementary School,261.0,District of Columbia Public Schools,1.0,Elementary,PK4 - 5,4,DCPS,(202) 282-0116,"5701 Broad Branch Rd. NW, WASHINGTON, DC 20015"
2021-08-31,2021-09-03,MacFarland,1,True,"  A letter to the MacFarland community was sent on September 3, 2021, notifying them of a positive COVID-19 case in the building on August 31, 2021.  ",Middle,MacFarland Middle School,420.0,District of Columbia Public Schools,1.0,Middle,6 - 8,4,DCPS,(202) 671-6033,"4400 Iowa Ave. NW, WASHINGTON, DC 20011"
2021-08-31,2021-09-01,McKinley,1,True,"A letter to the McKinley community was sent on September 1, 2021, notifying them of a positive COVID-19 case in the building on August 31, 2021.",Unknown,,,,,,,Unk,,,
2021-08-31,2021-09-02,Tubman,1,True," A letter to the Tubman Elementary School community was sent on September 2, 2021, notifying them of a positive COVID-19 case in the building on August 31, 2021. ",Elementary,Tubman Elementary School,328.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,1,DCPS,(202) 673-7285,"3101 13th St. NW, WASHINGTON, DC 20010"
2021-08-31,2021-09-05,Wilson,1,False,"A letter to the Wilson community was sent on September 5, 2021, notifying them of two positive COVID-19 cases in the building on August 30 and August 31, respectively.",High,J.O. Wilson Elementary School,339.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,6,DCPS,(202) 698-4733,"660 K St. NE, WASHINGTON, DC 20002"
2021-08-31,2021-09-05,Wilson,1,False,"A letter to the Wilson community was sent on September 5, 2021, notifying them of two positive COVID-19 cases in the building on August 30 and August 31, respectively.",High,Woodrow Wilson High School,463.0,District of Columbia Public Schools,1.0,High,9 - 12,3,DCPS,(202) 282-0120,"3950 Chesapeake St. NW, WASHINGTON, DC 20016"
2021-09-01,2021-09-08,Brightwood,1,False,"A letter to the Brightwood community was sent on September 8, 2021, notifying them of two positive COVID-19 cases in the building on August 30, and  September 1, respectively.",Elementary,Brightwood Elementary School,213.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,4,DCPS,(202) 722-5670,"1300 Nicholson St. NW, WASHINGTON, DC 20011"
2021-09-01,2021-09-05,Deal,1,False,"A letter to the Deal community was sent on September 5, 2021, notifying them of two positive COVID-19 cases in the building on September 1 and September 2, respectively.",Middle,Deal Middle School,405.0,District of Columbia Public Schools,1.0,Middle,6 - 8,3,DCPS,(202) 939-2010,"3815 Fort Dr. NW, WASHINGTON, DC 20016"
2021-09-01,2021-09-02,Eliot-Hine,1,True," A letter to the Eliot-Hine community was sent on September 2, 2021, notifying them of a positive COVID-19 case in the building on September 1, 2021. ",Middle,Eliot-Hine Middle School,407.0,District of Columbia Public Schools,1.0,Middle,6 - 8,6,DCPS,(202) 939-5380,"1830 Constitution Ave. NE, WASHINGTON, DC 20002"
2021-09-01,2021-09-07,Eliot-Hine,1,True,"A letter to the Eliot-Hine community was sent on September 7, 2021, notifying them of a positive COVID-19 case in the building on September 1, 2021. ",Middle,Eliot-Hine Middle School,407.0,District of Columbia Public Schools,1.0,Middle,6 - 8,6,DCPS,(202) 939-5380,"1830 Constitution Ave. NE, WASHINGTON, DC 20002"
2021-09-01,2021-09-07,Houston,1,True,"A letter to the Houston community was sent on September 7, 2021, notifying them of a positive COVID-19 case in the building on September 1, 2021. ",Elementary,Houston Elementary School,251.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,7,DCPS,(202) 671-6170,"1100 50th Pl. NE, WASHINGTON, DC 20019"
2021-09-01,2021-09-02,Houston,1,True,"A letter to the Houston ES community was sent on September 2, 2021, notifying them of a positive COVID-19 case in the building on September 1, 2021.",Elementary,Houston Elementary School,251.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,7,DCPS,(202) 671-6170,"1100 50th Pl. NE, WASHINGTON, DC 20019"
2021-09-01,2021-09-03,Leckie,2,False,"A letter to the Leckie community was sent on September 3, 2021, notifying them of two positive COVID-19 cases in the building on September 1, 2021.",PK-8,Leckie Education Campus,266.0,District of Columbia Public Schools,1.0,K-8,PK3 - 8,8,DCPS,(202) 645-3330,"4201 M.L. King Ave. SW, WASHINGTON, DC 20032"
2021-09-01,2021-09-07,Marie Reed,1,True,"A letter to the Marie Reed community was sent on September 7, 2021, notifying them of a positive COVID-19 case in the building on September 1, 2021. ",Elementary,Marie Reed Elementary School,284.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,1,DCPS,(202) 673-7308,"2201 18th St. NW, WASHINGTON, DC 20009"
2021-09-01,2021-09-08,Stuart-Hobson,1,True,"A letter to the Stuart-Hobson community was sent on September 8, 2021, notifying them of a positive COVID-19 case in the building on September 1, 2021. ",Middle,Stuart-Hobson Middle School (Capitol Hill Cluster),428.0,District of Columbia Public Schools,1.0,Middle,6 - 8,6,DCPS,(202) 671-6010,"410 E St. NE, WASHINGTON, DC 20002"
2021-09-02,2021-09-05,Deal,1,False,"A letter to the Deal community was sent on September 5, 2021, notifying them of two positive COVID-19 cases in the building on September 1 and September 2, respectively.",Middle,Deal Middle School,405.0,District of Columbia Public Schools,1.0,Middle,6 - 8,3,DCPS,(202) 939-2010,"3815 Fort Dr. NW, WASHINGTON, DC 20016"
2021-09-02,2021-09-09,Eastern,1,True,"A letter to the Eastern community was sent on September 9, 2021, notifying them of positive COVID-19 cases in the building on September 2 and September 3, 2021.",High,Eastern High School,457.0,District of Columbia Public Schools,1.0,High,9 - 12,6,DCPS,(202) 698-4500,"1700 East Capitol St. NE, WASHINGTON, DC 20003"
2021-09-02,2021-09-09,Moore,1,True,"A letter to the Luke C. Moore community was sent on September 9, 2021, notifying them of a positive COVID-19 case in the building on September 2, 2021.",Unknown,Luke C. Moore High School,884.0,District of Columbia Public Schools,1.0,High,9 - 12,5,DCPS,(202) 281-3600,"1001 Monroe St. NE, WASHINGTON, DC 20017"
2021-09-02,2021-09-07,Nalle,1,True,"A letter to the Nalle community was sent on September 7, 2021, notifying them of a positive COVID-19 case in the building on September 2, 2021. ",Elementary,Nalle Elementary School,288.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,7,DCPS,(202) 671-6280,"219 50th St. SE, WASHINGTON, DC 20019"
2021-09-02,2021-09-08,Powell,1,False,"A letter to the Powell community was sent on September 8, 2021, notifying them of two positive COVID-19 cases in the building on September 2, and September 3, respectively.",Elementary,Powell Elementary School,300.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,4,DCPS,(202) 671-6270,"1350 Upshur St. NW, WASHINGTON, DC 20011"
2021-09-02,2021-09-03,Roosevelt,1,True,"A letter to the Roosevelt community was sent on September 3, 2021, notifying them of a positive COVID-19 case in the building on September 2, 2021.  ",High,Roosevelt High School,459.0,District of Columbia Public Schools,1.0,High,9 - 12,4,DCPS,(202) 576-6130,"4301 13th St. NW, WASHINGTON, DC 20011"
2021-09-02,2021-09-04,School Without Walls,1,True,"A letter to the School Within Walls community was sent on September 4, 2021, notifying them of a positive COVID-19 case in the building on September 2, 2021.",PK-8,School Without Walls High School,466.0,District of Columbia Public Schools,1.0,High,9 - 12,2,DCPS,(202) 645-9690,"2130 G St. NW, WASHINGTON, DC 20037"
2021-09-02,2021-09-08,Stanton,1,True,"A letter to the Stanton community was sent on September 8, 2021, notifying them of a positive COVID-19 case in the building on September 2, 2021.",Elementary,Stanton Elementary School,319.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,8,DCPS,(202) 671-6180,"2701 Naylor Rd. SE, WASHINGTON, DC 20020"
2021-09-02,2021-09-10,Whittier,1,False,"A letter to the Whittier community was sent on September 10, 2021, notifying them of two positive COVID-19 cases in the building on September 2, 2021 and September 10, 2021, respectively.",Elementary,Whittier Elementary School,338.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,4,DCPS,(202) 576-6156,"6201 5th St. NW, WASHINGTON, DC 20011"
2021-09-03,2021-09-12,Anacostia,1,False,"A letter to the Anacostia community was sent on September 12, 2021, notifying them of two positive COVID-19 cases in the building on September 3 and September 8, 2021, respectively.",High,Anacostia High School,450.0,District of Columbia Public Schools,1.0,High,9 - 12,8,DCPS,(202) 698-2155,"1601 16th St. SE, WASHINGTON, DC 20020"
2021-09-03,2021-09-10,Ballou,1,True,"A letter to the Ballou community was sent on September 10, 2021, notifying them of a positive COVID-19 case in the building on September 3, 2021.",High,Ballou High School,452.0,District of Columbia Public Schools,1.0,High,9 - 12,8,DCPS,(202) 645-3400,"3401 4th St. SE, WASHINGTON, DC 20032"
2021-09-03,2021-09-07,Bancroft,1,True,"A letter to the Bancroft community was sent on September 7, 2021, notifying them of a positive COVID-19 case in the building on September 3, 2021. ",Elementary,Bancroft Elementary School,204.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,1,DCPS,(202) 673-7280,"1755 Newton St. NW, WASHINGTON, DC 20010"
2021-09-03,2021-09-11,Banneker,1,True,"A letter to the Banneker community was sent on September 11, 2021, notifying them of a positive COVID-19 case in the building on September 3, 2021.",High,Benjamin Banneker High School,402.0,District of Columbia Public Schools,1.0,High,9 - 12,1,DCPS,(202) 671-6320,"925 Rhode Island Ave. NW, WASHINGTON, DC 20001"
2021-09-03,2021-09-10,Bard,1,False,"A letter to the Bard community was sent on September 10, 2021, notifying them of two positive COVID-19 cases in the building on September 3 and September 9, 2021.",High,Bard High School Early College DC (Bard DC),1058.0,District of Columbia Public Schools,1.0,High,9 - 12,7,DCPS,(202) 898-4664,"4430 H St. SE, WASHINGTON, DC 20019"
2021-09-03,2021-09-07,Beers,1,True,"A letter to the Beers community was sent on September 7, 2021, notifying them of a positive COVID-19 case in the building on September 3, 2021. ",Elementary,Beers Elementary School,206.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,7,DCPS,(202) 939-4800,"3600 Alabama Ave. SE, WASHINGTON, DC 20020"
2021-09-03,2021-09-09,Burroughs,1,True,"A letter to the Burroughs community was sent on September 9, 2021, notifying them of a positive COVID-19 case in the building on September 3, 2021.",Elementary,Burroughs Elementary School,220.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,5,DCPS,(202) 576-6150,"1820 Monroe St. NE, WASHINGTON, DC 20018"
2021-09-03,2021-09-09,Capitol Hill Montessori,1,True,"A letter to the Capitol Hill Montessori community was sent on September 9, 2021, notifying them of a positive COVID-19 case in the building on September 3, 2021.",Elementary,Capitol Hill Montessori School @ Logan,360.0,District of Columbia Public Schools,1.0,K-8,PK3 - 8,6,DCPS,(202) 698-4467,"215 G St NE, WASHINGTON, DC 20002"
2021-09-03,2021-09-05,Cardozo,1,True,"A letter to the Cardozo community was sent on September 5, 2021, notifying them of a positive COVID-19 case in the building on September 3, 2021.",6-12,Cardozo Education Campus,454.0,District of Columbia Public Schools,1.0,6-12,6 - 12,1,DCPS,(202) 673-7385,"1200 Clifton St. NW, WASHINGTON, DC 20009"
2021-09-03,2021-09-09,Deal,1,True,"A letter to the Deal community was sent on September 9, 2021, notifying them of a positive COVID-19 case in the building on September 3, 2021.",Middle,Deal Middle School,405.0,District of Columbia Public Schools,1.0,Middle,6 - 8,3,DCPS,(202) 939-2010,"3815 Fort Dr. NW, WASHINGTON, DC 20016"
2021-09-03,2021-09-10,Deal,1,True,"A letter to the Deal community was sent on September 10, 2021, notifying them of a positive COVID-19 case in the building on September 3, 2021.",Middle,Deal Middle School,405.0,District of Columbia Public Schools,1.0,Middle,6 - 8,3,DCPS,(202) 939-2010,"3815 Fort Dr. NW, WASHINGTON, DC 20016"
2021-09-03,2021-09-08,Dunbar,1,True,"A letter to the Dunbar community was sent on September 8, 2021, notifying them of a positive COVID-19 case in the building on September 3, 2021. ",High,Dunbar High School,467.0,District of Columbia Public Schools,1.0,High,9 - 12,5,DCPS,(202) 698-3762,"101 N St. NW, WASHINGTON, DC 20001"
2021-09-03,2021-09-09,Dunbar,2,False,"A letter to the Dunbar community was sent on September 9, 2021, notifying them of two positive COVID-19 cases in the building on September 3, 2021. ",High,Dunbar High School,467.0,District of Columbia Public Schools,1.0,High,9 - 12,5,DCPS,(202) 698-3762,"101 N St. NW, WASHINGTON, DC 20001"
2021-09-03,2021-09-09,Eastern,1,True,"A letter to the Eastern community was sent on September 9, 2021, notifying them of positive COVID-19 cases in the building on September 2 and September 3, 2021.",High,Eastern High School,457.0,District of Columbia Public Schools,1.0,High,9 - 12,6,DCPS,(202) 698-4500,"1700 East Capitol St. NE, WASHINGTON, DC 20003"
2021-09-03,2021-09-07,Janney,1,True,"A letter to the Janney community was sent on September 7, 2021, notifying them of a positive COVID-19 case in the building on September 3, 2021. ",Elementary,Janney Elementary School,254.0,District of Columbia Public Schools,1.0,Elementary,PK4 - 5,3,DCPS,(202) 282-0110,"4130 Albemarle St. NW, WASHINGTON, DC 20016"
2021-09-03,2021-09-07,Johnson,1,True,"A letter to the Johnson community was sent on September 7, 2021, notifying them of a positive COVID-19 case in the building on September 3, 2021. ",Middle,Johnson Middle School,416.0,District of Columbia Public Schools,1.0,Middle,6 - 8,8,DCPS,(202) 939-3140,"1400 Bruce Pl. SE, WASHINGTON, DC 20020"
2021-09-03,2021-09-09,King,1,True,"A letter to the King community was sent on September 9, 2021, notifying them of a positive COVID-19 case in the building on September 3, 2021.",Elementary,King Elementary School,344.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,8,DCPS,(202) 939-4900,"3200 6th St. SE, WASHINGTON, DC 20032"
