school,school_name_long,state_school_id,lea_name,lea_id,level,grades,ward,charter_status,phone,address
Burrville,Burrville Elementary School,221,District of Columbia Public Schools,001,Elementary,PK3 - 5,7,DCPS,(202) 671-6020,"801 Division Ave. NE, WASHINGTON, DC 20019"
Capital City High,Capital City PCS - High School,1207,Capital City PCS,108,High,9 - 12,4,Charter,(202) 808-9800,"100 PEABODY STREET NW, WASHINGTON, DC 20011"
Capital City Lower,Capital City PCS - Lower School,184,Capital City PCS,108,Elementary,PK3 - 4,4,Charter,(202) 808-9800,"100 PEABODY STREET NW, WASHINGTON, DC 20011"
Capital City Middle,Capital City PCS - Middle School,182,Capital City PCS,108,Middle,5 - 8,4,Charter,(202) 808-9800,"100 PEABODY STREET NW, WASHINGTON, DC 20011"
Capital Village,Capital Village PCS,1145,Capital Village PCS,334,Middle,5 - 7,4,Charter,(202) 938-1416,"705 EDGEWOOD STREET NE, WASHINGTON, DC 20017"
Capitol Hill Montessori,Capitol Hill Montessori School @ Logan,360,District of Columbia Public Schools,001,K-8,PK3 - 8,6,DCPS,(202) 698-4467,"215 G St NE, WASHINGTON, DC 20002"
Cardozo,Cardozo Education Campus,454,District of Columbia Public Schools,001,6-12,6 - 12,1,DCPS,(202) 673-7385,"1200 Clifton St. NW, WASHINGTON, DC 20009"
CCPA,Community College Preparatory Academy PCS,216,Community College Preparatory Academy PCS,176,Other,,AD,Charter,(202) 610-5780,"2405 MARTIN LUTHER KING JR AVENUE SE, WASHINGTON, DC 20020"
Cedar Tree,Cedar Tree Academy PCS,188,Cedar Tree Academy PCS,123,Elementary,PK3 - 2,8,Charter,(202) 610-4193,"701 HOWARD ROAD SE, WASHINGTON, DC 20020"
Center City BW,Center City PCS - Brightwood,1103,Center City PCS,156,K-8,PK3 - 8,4,Charter,(202) 723-3322,"6008 GEORGIA AVENUE NW, WASHINGTON, DC 20011"
Center City CA,Center City PCS - Capitol Hill,1104,Center City PCS,156,K-8,PK3 - 8,6,Charter,(202) 547-7556,"1503 EAST CAPITOL STREET SE, WASHINGTON, DC 20003"
Center City CO,Center City PCS - Congress Heights,1105,Center City PCS,156,K-8,PK3 - 8,8,Charter,(202) 562-7070,"220 HIGHVIEW PLACE SE, WASHINGTON, DC 20032"
Center City PE,Center City PCS - Petworth,1106,Center City PCS,156,K-8,PK3 - 8,4,Charter,(202) 554-9212,"510 WEBSTER STREET NW, WASHINGTON, DC 20011"
Center City SH,Center City PCS - Shaw,1107,Center City PCS,156,K-8,PK4 - 8,6,Charter,(202) 234-1093,"711 N STREET NW, WASHINGTON, DC 20001"
Center City TR,Center City PCS - Trinidad,1108,Center City PCS,156,K-8,PK4 - 8,5,Charter,(202) 397-1614,"1217 WEST VIRGINIA AVENUE NE, WASHINGTON, DC 20002"
Chavez,Cesar Chavez Public Charter Schools for Public Policy,109,Cesar Chavez PCS for Public Policy,109,6-12,6 - 12,7,Charter,(202) 398-2230,"3701 HAYES STREET NE, WASHINGTON, DC 20019"
CHEC,Columbia Heights Education Campus,442,District of Columbia Public Schools,001,6-12,6 - 12,1,DCPS,(202) 939-7700,"3101 16th St. NW, WASHINGTON, DC 20010"
Cleveland,Cleveland Elementary School,224,District of Columbia Public Schools,001,Elementary,PK3 - 5,1,DCPS,(202) 939-4380,"1825 8th St. NW, WASHINGTON, DC 20001"
Cooke,H.D. Cooke Elementary School,227,District of Columbia Public Schools,001,Elementary,PK3 - 5,1,DCPS,(202) 939-5390,"2525 17th St. NW, WASHINGTON, DC 20009"
Coolidge,Coolidge High School,455,District of Columbia Public Schools,001,High,9 - 12,4,DCPS,(202) 671-6080,"6315 5th St. NW, WASHINGTON, DC 20011"
Creative Minds,Creative Minds International PCS,3069,Creative Minds International PCS,169,K-8,PK3 - 8,5,Charter,(202) 588-0370,"3700 NORTH CAPITOL STREET NW, WASHINGTON, DC 20011"
DC Bilingual,DC Bilingual PCS,199,DC Bilingual PCS,114,Elementary,PK3 - 5,5,Charter,(202) 750-6674,"33 RIGGS ROAD NE, WASHINGTON, DC 20011"
DC International,District of Columbia International School,248,District of Columbia International School,181,6-12,6 - 12,4,Charter,(202) 808-9033,"1400 MAIN DRIVE NW, WASHINGTON, DC 20012"
DC Prep Anacostia Elementary,DC Prep PCS - Anacostia Elementary School,276,DC Prep PCS,115,Elementary,PK3 - 3,8,Charter,(202) 729-3500,"1409 V STREET SE, WASHINGTON, DC 20020"
DC Prep Anacostia Middle,DC Prep PCS - Anacostia Middle School,1151,DC Prep PCS,115,Elementary,4 - 5,8,Charter,(202) 519-3955,"2501 MARTIN LUTHER KING JR AVENUE SE, WASHINGTON, DC 20020"
DC Prep Benning Elementary,DC Prep PCS - Benning Elementary School,1110,DC Prep PCS,115,Elementary,PK3 - 3,8,Charter,(202) 398-2838,"100 41ST STREET NE, WASHINGTON, DC 20019"
DC Prep Benning Middle,DC Prep PCS - Benning Middle School,218,DC Prep PCS,115,Middle,4 - 8,7,Charter,(202) 396-3780,"100 41ST STREET NE, WASHINGTON, DC 20019"
DC Prep Edgewood Elementary,DC Prep PCS - Edgewood Elementary School,130,DC Prep PCS,115,Elementary,PK3 - 3,7,Charter,(202) 635-4411,"707 EDGEWOOD STREET NE, WASHINGTON, DC 20017"
DC Prep Edgewood Middle,DC Prep PCS - Edgewood Middle School,196,DC Prep PCS,115,Middle,4 - 8,5,Charter,(202) 832-5700,"701 EDGEWOOD STREET NE, WASHINGTON, DC 20017"
DC Scholars,DC Scholars PCS,3070,DC Scholars PCS,170,K-8,PK3 - 8,7,Charter,(202) 559-6138,"5601 EAST CAPITOL STREET SE, WASHINGTON, DC 20019"
Deal,Deal Middle School,405,District of Columbia Public Schools,001,Middle,6 - 8,3,DCPS,(202) 939-2010,"3815 Fort Dr. NW, WASHINGTON, DC 20016"
DPA CH,Digital Pioneers Academy PCS - Capitol Hill,1212,Digital Pioneers Academy PCS,317,High,9,6,Charter,,"709 12TH STREET SE, WASHINGTON, DC 20003"
DPA JO,Digital Pioneers Academy PCS - Johenning,1038,Digital Pioneers Academy PCS,317,Middle,6 - 8,6,Charter,,"4025 9TH STREET SE, WASHINGTON, DC 20032"
Drew,Drew Elementary School,231,District of Columbia Public Schools,001,Elementary,PK3 - 5,7,DCPS,(202) 671-6040,"5600 Eads St. NE, WASHINGTON, DC 20019"
Dunbar,Dunbar High School,467,District of Columbia Public Schools,001,High,9 - 12,5,DCPS,(202) 698-3762,"101 N St. NW, WASHINGTON, DC 20001"
Eagle CH,Eagle Academy PCS - Congress Heights,195,Eagle Academy PCS,117,Elementary,PK3 - 3,8,Charter,(202) 544-2646,"3400 WHEELER ROAD SE, WASHINGTON, DC 20032"
Eagle CR,Eagle Academy PCS - Capitol Riverfront,1125,Eagle Academy PCS,117,Elementary,PK3 - 3,6,Charter,(202) 459-6825,"1900 HALF STREET SW, WASHINGTON, DC 20536"
Eastern,Eastern High School,457,District of Columbia Public Schools,001,High,9 - 12,6,DCPS,(202) 698-4500,"1700 East Capitol St. NE, WASHINGTON, DC 20003"
Eaton,Eaton Elementary School,232,District of Columbia Public Schools,001,Elementary,PK4 - 5,3,DCPS,(202) 282-0103,"3301 Lowell St NW, WASHINGTON, DC 20008"
ECA,Early Childhood Academy PCS,138,Early Childhood Academy PCS,118,Elementary,PK3 - 3,8,Charter,(202) 373-0035,"885 BARNABY STREET SE, WASHINGTON, DC 20032"
Educare,Educare of Washington DC,1024,District of Columbia Public Schools,001,Other,,7,DCPS,(202) 727-5604,"640 Anacostia Avenue NE, WASHINGTON, DC 20019"
Eliot-Hine,Eliot-Hine Middle School,407,District of Columbia Public Schools,001,Middle,6 - 8,6,DCPS,(202) 939-5380,"1830 Constitution Ave. NE, WASHINGTON, DC 20002"
Ellington,Duke Ellington School of the Arts,471,District of Columbia Public Schools,001,High,9 - 12,3,DCPS,(202) 282-0123,"3500 R St. NW, WASHINGTON, DC 20007"
Excel,Excel Academy,318,District of Columbia Public Schools,001,K-8,PK3 - 8,8,DCPS,(202) 373-0097,"2501 Martin Luther King, Jr. Ave. SE, WASHINGTON, DC 20020"
Family Place,The Family Place PCS,1036,The Family Place PCS,303,Other,,1,Charter,(202) 265-0149,"3309 16TH STREET NW, WASHINGTON, DC 20010"
Friendship AE,Friendship PCS - Armstrong Elementary,269,Friendship PCS,120,Elementary,PK3 - 3,5,Charter,(202) 518-3928,"111 O STREET NW, WASHINGTON, DC 20001"
Friendship AM,Friendship PCS - Armstrong Middle,1140,Friendship PCS,120,Middle,4 - 8,5,Charter,(202) 518-3928,"111 O STREET NW, WASHINGTON, DC 20001"
Friendship BE,Friendship PCS - Blow Pierce Elementary,361,Friendship PCS,120,Elementary,PK3 - 3,7,Charter,(202) 572-1070,"725 19TH STREET NE, WASHINGTON, DC 20002"
Friendship BM,Friendship PCS - Blow Pierce Middle,362,Friendship PCS,120,Middle,4 - 8,7,Charter,(202) 572-1070,"725 19TH STREET NE, WASHINGTON, DC 20002"
Friendship CA,Friendship PCS - Collegiate Academy,186,Friendship PCS,120,High,9 - 12,7,Charter,(202) 396-5500,"4095 MINNESOTA AVENUE NE, WASHINGTON, DC 20019"
Friendship CE,Friendship PCS - Chamberlain Elementary,363,Friendship PCS,120,Elementary,PK3 - 3,6,Charter,(202) 547-5800,"1345 POTOMAC AVENUE SE, WASHINGTON, DC 20003"
Friendship CM,Friendship PCS - Chamberlain Middle,364,Friendship PCS,120,Middle,4 - 8,6,Charter,(202) 547-5800,"1345 POTOMAC AVENUE SE, WASHINGTON, DC 20003"
Friendship IE,Friendship PCS - Ideal Elementary,1083,Friendship PCS,120,Elementary,PK3 - 3,4,Charter,(202) 518-3928,"6130 NORTH CAPITOL STREET NW, WASHINGTON, DC 20011"
Friendship IM,Friendship PCS - Ideal Middle,1084,Friendship PCS,120,Middle,4 - 8,4,Charter,(202) 518-3928,"6130 NORTH CAPITOL STREET NW, WASHINGTON, DC 20011"
Friendship OA,Friendship PCS - Online Academy,268,Friendship PCS,120,K-8,KG - 8,4,Charter,(202) 729-8287,"1351 NICHOLSON STREET NW, WASHINGTON, DC 20011"
Friendship SE,Friendship PCS - Southeast Elementary,113,Friendship PCS,120,Elementary,PK3 - 3,8,Charter,(202) 562-1980,"645 MILWAUKEE PLACE SE, WASHINGTON, DC 20032"
Friendship SM,Friendship PCS - Southeast Middle,1057,Friendship PCS,120,Middle,4 - 8,8,Charter,(202) 562-1980,"645 MILWAUKEE PLACE SE, WASHINGTON, DC 20032"
Friendship TH,Friendship PCS - Technology Preparatory High School,1164,Friendship PCS,120,High,9 - 12,8,Charter,(202) 562-1681,"2705 MARTIN LUTHER KING JR AVENUE SE, WASHINGTON, DC 20032"
Friendship WE,Friendship PCS - Woodridge International Elementary,365,Friendship PCS,120,Elementary,PK3 - 3,5,Charter,(202) 635-6500,"2959 CARLTON AVENUE NE, WASHINGTON, DC 20018"
Friendship WM,Friendship PCS - Woodridge International Middle,366,Friendship PCS,120,Middle,4 - 8,5,Charter,(202) 635-6500,"2959 CARLTON AVENUE NE, WASHINGTON, DC 20018"
Garfield,Garfield Elementary School,238,District of Columbia Public Schools,001,Elementary,PK3 - 5,8,DCPS,(202) 671-6140,"2435 Alabama Ave. SE, WASHINGTON, DC 20020"
Garrison,Garrison Elementary School,239,District of Columbia Public Schools,001,Elementary,PK3 - 5,2,DCPS,(202) 673-7263,"1200 S St. NW, WASHINGTON, DC 20009"
Girls Global,Girls Global Academy PCS,1146,Girls Global Academy PCS,340,High,9 - 10,2,Charter,(202) 600-4822,"733 8TH STREET NW, WASHINGTON, DC 20001"
Global Citizens,Global Citizens PCS,1160,Global Citizens PCS,357,Elementary,PK3 - PK4,7,Charter,(240) 230-7228,"4095 MINNESOTA AVENUE NE, WASHINGTON, DC 20019"
Goodwill Excel,Goodwill Excel Center PCS,297,Goodwill Excel Center PCS,190,High,9 - 12,2,Charter,(202) 839-3650,"1776 G STREET NW, WASHINGTON, DC 20006"
Guild,The Children's Guild DC PCS,255,The Children's Guild DC PCS,188,K-8,KG - 8,5,Charter,(202) 774-5442,"2146 24TH PLACE NE, WASHINGTON, DC 20018"
Hardy,Hardy Middle School,246,District of Columbia Public Schools,001,Middle,6 - 8,2,DCPS,(202) 729-4350,"1819 35th St. NW, WASHINGTON, DC 20007"
Harmony,Harmony DC PCS - School of Excellence,245,Harmony DC PCS,180,Elementary,PK3 - 5,5,Charter,(202) 529-7500,"62 T STREET NE, WASHINGTON, DC 20002"
Harris,C.W. Harris Elementary School,247,District of Columbia Public Schools,001,Elementary,PK3 - 5,7,DCPS,(202) 645-3188,"301 53rd St. SE, WASHINGTON, DC 20019"
Hart,Hart Middle School,413,District of Columbia Public Schools,001,Middle,6 - 8,8,DCPS,(202) 671-6426,"601 Mississippi Ave. SE, WASHINGTON, DC 20032"
Haynes ES,E.L. Haynes PCS - Elementary School,1206,E.L. Haynes PCS,116,Elementary,PK3 - 4,4,Charter,(202) 667-4446,"4501 KANSAS AVENUE NW, WASHINGTON, DC 20011"
Haynes HS,E.L. Haynes PCS - High School,1138,E.L. Haynes PCS,116,High,9 - 12,4,Charter,(202) 667-4446,"4501 KANSAS AVENUE NW, WASHINGTON, DC 20011"
Haynes MS,E.L. Haynes PCS - Middle School,146,E.L. Haynes PCS,116,Middle,5 - 8,4,Charter,(202) 667-4446,"3600 GEORGIA AVENUE NW, WASHINGTON, DC 20010"
Hearst,Hearst Elementary School,258,District of Columbia Public Schools,001,Elementary,PK4 - 5,3,DCPS,(202) 282-0106,"3950 37th St. NW, WASHINGTON, DC 20008"
Height,Dorothy I. Height Elementary School,349,District of Columbia Public Schools,001,Elementary,PK3 - 5,4,DCPS,(202) 723-4100,"4300 13th St. NW, WASHINGTON, DC 20011"
Hendley,Hendley Elementary School,249,District of Columbia Public Schools,001,Elementary,PK3 - 5,8,DCPS,(202) 645-3450,"425 Chesapeake St. SE, WASHINGTON, DC 20032"
Hope,Academy of Hope Adult PCS,233,Academy of Hope Adult PCS,178,Other,,AD,Charter,(202) 269-6623,"2315 18TH PLACE NE, WASHINGTON, DC 20018"
Hope,Hope Community PCS - Tolson,114,Hope Community PCS,121,K-8,PK3 - 8,5,Charter,(202) 832-7370,"2917 8TH STREET NE, WASHINGTON, DC 20017"
Houston,Houston Elementary School,251,District of Columbia Public Schools,001,Elementary,PK3 - 5,7,DCPS,(202) 671-6170,"1100 50th Pl. NE, WASHINGTON, DC 20019"
Howard,Howard University Middle School of Mathematics and Science PCS,115,Howard University Middle School of Mathematics and Science PCS,124,Middle,6 - 8,1,Charter,(202) 806-7725,"405 HOWARD ROAD PLACE NW, WASHINGTON, DC 20059"
Hyde-Addison,Hyde-Addison Elementary School,252,District of Columbia Public Schools,001,Elementary,PK3 - 5,2,DCPS,(202) 282-0170,"3219 O St. NW, WASHINGTON, DC 20007"
I Dream,I Dream PCS,1147,I Dream PCS,345,Elementary,PK3 - 3,7,Charter,(202) 922-7221,"2220 BRANCH AVENUE SE, WASHINGTON, DC 20020"
IDEA,IDEA PCS,163,IDEA PCS,126,High,9 - 12,7,Charter,(202) 399-4750,"1027 45TH STREET NE, WASHINGTON, DC 20019"
Ingenuity,Ingenuity Prep PCS,200,Ingenuity Prep PCS,173,K-8,PK3 - 8,8,Charter,(202) 562-0391,"4600 LIVINGSTON ROAD SE, WASHINGTON, DC 20032"
Inspired,Inspired Teaching Demonstration PCS,3064,Inspired Teaching Demonstration PCS,165,K-8,PK3 - 8,5,Charter,(202) 248-6825,"200 DOUGLAS STREET NE, WASHINGTON, DC 20002"
Janney,Janney Elementary School,254,District of Columbia Public Schools,001,Elementary,PK4 - 5,3,DCPS,(202) 282-0110,"4130 Albemarle St. NW, WASHINGTON, DC 20016"
Jefferson,Jefferson Middle School Academy,433,District of Columbia Public Schools,001,Middle,6 - 8,6,DCPS,(202) 729-3270,"801 7th St. SW, WASHINGTON, DC 20024"
Johnson,Johnson Middle School,416,District of Columbia Public Schools,001,Middle,6 - 8,8,DCPS,(202) 939-3140,"1400 Bruce Pl. SE, WASHINGTON, DC 20020"
Ketcham,Ketcham Elementary School,257,District of Columbia Public Schools,001,Elementary,PK3 - 5,8,DCPS,(202) 698-1122,"1919 15th St. SE, WASHINGTON, DC 20020"
Key,Key Elementary School,272,District of Columbia Public Schools,001,Elementary,PK4 - 5,3,DCPS,(202) 729-3280,"5001 Dana Pl. NW, WASHINGTON, DC 20016"
Kimball,Kimball Elementary School,259,District of Columbia Public Schools,001,Elementary,PK3 - 5,7,DCPS,(202) 671-6260,"3375 Minnesota Ave. SE, WASHINGTON, DC 20019"
King,King Elementary School,344,District of Columbia Public Schools,001,Elementary,PK3 - 5,8,DCPS,(202) 939-4900,"3200 6th St. SE, WASHINGTON, DC 20032"
Kingsman,Kingsman Academy PCS,267,Kingsman Academy PCS,186,6-12,6 - 12,6,Charter,(202) 547-1028,"1375 E STREET NE, WASHINGTON, DC 20002"
KIPP AIM,KIPP DC - AIM Academy PCS,116,KIPP DC PCS,129,Middle,5 - 8,8,Charter,(202) 678-5477,"2600 DOUGLASS ROAD SE, WASHINGTON, DC 20020"
KIPP ATA,KIPP DC - Arts and Technology Academy PCS,236,KIPP DC PCS,129,Elementary,PK3 - KG,7,Charter,(202) 398-6811,"5300 BLAINE STREET NE, WASHINGTON, DC 20019"
KIPP CA,KIPP DC - Connect Academy PCS,209,KIPP DC PCS,129,Elementary,PK3 - KG,5,Charter,(202) 396-5477,"1375 MOUNT OLIVET ROAD NE, WASHINGTON, DC 20002"
KIPP CP,KIPP DC - College Preparatory PCS,1123,KIPP DC PCS,129,High,9 - 12,5,Charter,(202) 678-2527,"1405 BRENTWOOD PARKWAY NE, WASHINGTON, DC 20002"
KIPP DA,KIPP DC - Discover Academy PCS,1122,KIPP DC PCS,129,Elementary,PK3 - KG,8,Charter,(202) 678-7735,"2600 DOUGLASS ROAD SE, WASHINGTON, DC 20020"
KIPP GA,KIPP DC - Grow Academy PCS,1129,KIPP DC PCS,129,Elementary,PK3 - KG,6,Charter,(202) 986-4769,"421 P STREET NW, WASHINGTON, DC 20001"
KIPP HA,KIPP DC - Honor Academy PCS,1085,KIPP DC PCS,129,Middle,4 - 8,8,Charter,(202) 562-9170,"3301 WHEELER ROAD SE, WASHINGTON, DC 20032"
KIPP HE,KIPP DC - Heights Academy PCS,3071,KIPP DC PCS,129,Elementary,1 - 4,8,Charter,(202) 610-5323,"2600 DOUGLASS ROAD SE, WASHINGTON, DC 20020"
KIPP IA,KIPP DC - Inspire Academy PCS,1185,KIPP DC PCS,129,Elementary,1 - 3,8,Charter,(202) 562-9170,"3301 WHEELER ROAD SE, WASHINGTON, DC 20032"
KIPP KEY,KIPP DC - KEY Academy PCS,189,KIPP DC PCS,129,Middle,5 - 8,7,Charter,(202) 582-5477,"4801 BENNING ROAD SE, WASHINGTON, DC 20019"
KIPP LA,KIPP DC - Lead Academy PCS,190,KIPP DC PCS,129,Elementary,1 - 4,6,Charter,(202) 223-4505,"421 P STREET NW, WASHINGTON, DC 20001"
KIPP LC,KIPP DC - Legacy College Preparatory PCS,1086,KIPP DC PCS,129,High,9 - 12,8,Charter,(202) 562-9170,"3999 8TH STREET SE, WASHINGTON, DC 20032"
KIPP LEAP,KIPP DC - LEAP Academy PCS,132,KIPP DC PCS,129,Elementary,PK3 - PK4,7,Charter,(202) 582-5327,"4801 BENNING ROAD SE, WASHINGTON, DC 20019"
KIPP NA,KIPP DC - Northeast Academy PCS,242,KIPP DC PCS,129,Middle,5 - 8,5,Charter,(202) 398-5477,"1375 MOUNT OLIVET ROAD NE, WASHINGTON, DC 20002"
KIPP PA,KIPP DC - Pride Academy PCS,1177,KIPP DC PCS,129,Elementary,PK3 - KG,8,Charter,(202) 562-9170,"3301 WHEELER ROAD SE, WASHINGTON, DC 20032"
KIPP PA,KIPP DC - Promise Academy PCS,1121,KIPP DC PCS,129,Elementary,KG - 4,7,Charter,(202) 592-1390,"4801 BENNING ROAD SE, WASHINGTON, DC 20019"
KIPP QA,KIPP DC - Quest Academy PCS,237,KIPP DC PCS,129,Elementary,1 - 4,7,Charter,(202) 398-6811,"5300 BLAINE STREET NE, WASHINGTON, DC 20019"
KIPP SA,KIPP DC - Spring Academy PCS,214,KIPP DC PCS,129,Elementary,1 - 4,5,Charter,(202) 397-5477,"1375 MOUNT OLIVET ROAD NE, WASHINGTON, DC 20002"
KIPP VA,KIPP DC - Valor Academy PCS,243,KIPP DC PCS,129,Middle,5 - 8,7,Charter,(202) 398-6811,"5300 BLAINE STREET NE, WASHINGTON, DC 20019"
KIPP WILL,KIPP DC - WILL Academy PCS,121,KIPP DC PCS,129,Middle,5 - 8,6,Charter,(202) 328-9455,"421 P STREET NW, WASHINGTON, DC 20001"
Kramer,Kramer Middle School,417,District of Columbia Public Schools,001,Middle,6 - 8,8,DCPS,(202) 939-3150,"1700 Q St. SE, WASHINGTON, DC 20020"
LA Montessori,Latin American Montessori Bilingual PCS,193,Latin American Montessori Bilingual PCS,130,Elementary,PK3 - 5,4,Charter,(202) 726-6200,"5000 14TH STREET NW, WASHINGTON, DC 20011"
